epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,234.291,1.32676,0.59887,0.21748,1.0474,1.18354,0.97148,0.91228,0.97326,0.50722,0.9866,0.92982,0.99189,0.79254,1.5314,0.82098,0.03805,0.91148,1.27143,0.001736,0.001736,0.001736
22,245.506,1.28267,0.58645,0.17287,1.0094,1.20048,0.93966,0.87719,0.93231,0.38766,0.98895,0.94737,0.99112,0.77469,1.7663,0.8249,0.03608,1.11442,1.44741,0.0017228,0.0017228,0.0017228
23,256.679,1.1947,0.58349,0.16397,0.93096,1.14557,0.9781,0.98246,0.98973,0.43547,0.99556,1,0.995,0.77992,1.61359,0.81395,0.03287,1.04045,1.33907,0.0017096,0.0017096,0.0017096
24,267.844,1.19305,0.55243,0.17234,0.96523,1.17136,0.97994,0.98246,0.98496,0.45254,0.99749,1,0.995,0.77443,1.66544,0.80194,0.02597,0.9305,1.36249,0.0016964,0.0016964,0.0016964
25,279.007,1.14338,0.53558,0.17097,0.87148,1.15608,0.98034,0.98246,0.98172,0.39328,0.99785,1,0.995,0.77592,1.88374,0.79737,0.02312,0.94019,1.52304,0.0016832,0.0016832,0.0016832
26,290.158,1.21023,0.5901,0.15669,0.87805,1.1599,0.99863,1,0.995,0.46291,0.99863,1,0.995,0.77518,1.69222,0.7873,0.02235,0.80221,1.38281,0.00167,0.00167,0.00167
27,301.344,1.25543,0.55133,0.14858,0.81864,1.15408,1,1,0.995,0.5285,1,1,0.995,0.793,1.66414,0.77815,0.02513,0.70983,1.34855,0.0016568,0.0016568,0.0016568
28,312.515,1.32791,0.52273,0.15237,0.84433,1.1832,0.99878,1,0.995,0.41124,0.99878,1,0.995,0.79965,1.87249,0.77909,0.02531,0.80402,1.51542,0.0016436,0.0016436,0.0016436
29,323.8,1.27129,0.56519,0.15584,0.82149,1.17113,0.96551,0.98238,0.99315,0.44548,0.96551,0.98238,0.99315,0.79955,1.78434,0.78004,0.02963,0.84179,1.41062,0.0016304,0.0016304,0.0016304
30,335.07,1.20644,0.52494,0.15289,0.89675,1.16983,1,0.9427,0.98724,0.4684,0.98189,0.95101,0.99201,0.79629,1.73503,0.76534,0.02825,0.83376,1.36009,0.0016172,0.0016172,0.0016172
31,346.216,1.13953,0.52954,0.18786,0.81501,1.1242,1,0.97302,0.99466,0.54949,1,0.97302,0.99466,0.78753,1.54327,0.75201,0.02406,0.71906,1.24965,0.001604,0.001604,0.001604
32,357.446,1.20776,0.53631,0.1609,0.85156,1.1767,0.99642,1,0.995,0.53376,0.99642,1,0.995,0.78211,1.55554,0.75235,0.02358,0.75595,1.26487,0.0015908,0.0015908,0.0015908
33,368.662,1.12653,0.51822,0.12866,0.83166,1.14528,0.9813,0.98246,0.9945,0.41464,0.99809,1,0.995,0.80456,1.77722,0.73069,0.02676,0.88596,1.41741,0.0015776,0.0015776,0.0015776
34,379.904,1.31521,0.58686,0.13968,0.83466,1.1925,0.99798,1,0.995,0.46967,0.99798,1,0.995,0.81655,1.68041,0.71909,0.02751,0.79922,1.35503,0.0015644,0.0015644,0.0015644
35,391.132,1.23236,0.52986,0.14577,0.83859,1.13387,0.99784,1,0.995,0.60285,0.99784,1,0.995,0.81735,1.41897,0.73061,0.02936,0.66706,1.19187,0.0015512,0.0015512,0.0015512
36,402.426,1.13401,0.48642,0.12726,0.83287,1.11623,0.99791,1,0.995,0.59734,0.99791,1,0.995,0.81758,1.42288,0.71499,0.02631,0.69261,1.19244,0.001538,0.001538,0.001538
37,413.66,1.14973,0.52379,0.15,0.86514,1.17197,0.97886,0.98246,0.98315,0.43323,0.99634,1,0.995,0.82738,1.67696,0.66836,0.02657,0.92528,1.3545,0.0015248,0.0015248,0.0015248
38,424.709,1.22004,0.49705,0.12522,0.90626,1.16418,0.99797,1,0.995,0.41929,0.99797,1,0.995,0.84427,1.70543,0.6341,0.02545,0.93514,1.37937,0.0015116,0.0015116,0.0015116
39,435.745,1.13676,0.46203,0.12372,0.84594,1.10035,0.99805,1,0.995,0.53022,0.99805,1,0.995,0.8209,1.55393,0.62287,0.02268,0.78953,1.27587,0.0014984,0.0014984,0.0014984
40,446.632,1.18365,0.53814,0.11467,0.86933,1.10024,0.99786,1,0.995,0.56307,0.99786,1,0.995,0.83206,1.47921,0.60618,0.02185,0.71583,1.2189,0.0014852,0.0014852,0.0014852
41,457.626,1.13357,0.49389,0.12211,0.80721,1.08857,0.98273,0.99834,0.99414,0.56391,0.99835,1,0.995,0.83639,1.47026,0.611,0.02204,0.69836,1.20739,0.001472,0.001472,0.001472
42,468.555,1.13054,0.45999,0.1452,0.82035,1.12732,0.99793,1,0.995,0.53842,0.99793,1,0.995,0.83505,1.48141,0.57949,0.02146,0.69507,1.21208,0.0014588,0.0014588,0.0014588
43,479.442,1.12086,0.40246,0.13933,0.80028,1.13326,0.99828,1,0.995,0.54927,0.99828,1,0.995,0.85159,1.45803,0.53226,0.02461,0.65702,1.19379,0.0014456,0.0014456,0.0014456
44,489.183,1.09302,0.38401,0.16496,0.81295,1.1106,0.99788,1,0.995,0.58047,0.99788,1,0.995,0.84561,1.40324,0.53683,0.02818,0.63582,1.16485,0.0014324,0.0014324,0.0014324
45,498.402,1.09297,0.40481,0.149,0.82636,1.08853,0.99745,1,0.995,0.62395,0.99745,1,0.995,0.84826,1.27035,0.52749,0.03099,0.63906,1.11645,0.0014192,0.0014192,0.0014192
46,507.604,1.07728,0.36555,0.14524,0.78882,1.09952,0.99816,1,0.995,0.65253,0.99816,1,0.995,0.87295,1.23117,0.47811,0.0293,0.58309,1.10957,0.001406,0.001406,0.001406
47,516.733,1.13847,0.41678,0.11137,0.76447,1.09355,0.97987,0.98246,0.99257,0.55805,0.99737,1,0.995,0.88873,1.47505,0.44071,0.01971,0.69681,1.21492,0.0013928,0.0013928,0.0013928
48,525.957,1.10058,0.37226,0.11451,0.74086,1.10125,0.9804,0.98246,0.99257,0.56115,0.9979,1,0.995,0.90005,1.44267,0.42602,0.01538,0.69025,1.19965,0.0013796,0.0013796,0.0013796
49,535.249,1.12185,0.39338,0.12235,0.78928,1.10715,0.99793,1,0.995,0.62105,0.99793,1,0.995,0.91122,1.28063,0.39686,0.01484,0.65265,1.11894,0.0013664,0.0013664,0.0013664
50,544.496,1.05609,0.36522,0.10851,0.74084,1.07405,0.98003,0.98246,0.99256,0.54584,0.99759,1,0.995,0.90512,1.41533,0.40434,0.01369,0.73845,1.18881,0.0013532,0.0013532,0.0013532
51,553.654,1.07944,0.33394,0.12169,0.74636,1.09345,0.99762,1,0.995,0.62422,0.99762,1,0.995,0.93821,1.22016,0.33497,0.01356,0.64303,1.0981,0.00134,0.00134,0.00134
52,562.914,1.1051,0.34421,0.13628,0.76596,1.11502,0.99739,1,0.995,0.70797,0.99739,1,0.995,0.93841,1.02477,0.3104,0.01481,0.59301,1.03631,0.0013268,0.0013268,0.0013268
53,572.122,1.15905,0.30287,0.11501,0.79677,1.12118,0.99825,1,0.995,0.59943,0.99825,1,0.995,0.94478,1.22308,0.27825,0.01223,0.66984,1.10289,0.0013136,0.0013136,0.0013136
54,581.361,1.01611,0.31524,0.12608,0.77088,1.09345,0.99803,1,0.995,0.64267,0.99803,1,0.995,0.93682,1.12984,0.30406,0.01168,0.59306,1.06365,0.0013004,0.0013004,0.0013004
55,590.578,1.05672,0.31558,0.10994,0.73901,1.04575,0.99661,1,0.995,0.60093,0.99661,1,0.995,0.96163,1.18213,0.23695,0.01097,0.64602,1.07768,0.0012872,0.0012872,0.0012872
56,599.822,1.00438,0.25505,0.12372,0.74532,1.06335,0.99471,1,0.995,0.5991,0.99471,1,0.995,0.95878,1.17327,0.24022,0.01195,0.666,1.08755,0.001274,0.001274,0.001274
57,609.053,1.01398,0.28204,0.11849,0.75121,1.04866,0.99229,1,0.995,0.63153,0.99229,1,0.995,0.96708,1.12896,0.20648,0.01239,0.65629,1.08085,0.0012608,0.0012608,0.0012608
58,618.3,1.0483,0.28823,0.13137,0.7487,1.09403,0.98192,0.98246,0.98704,0.56578,0.99209,1,0.995,0.97572,1.31094,0.17712,0.01221,0.68327,1.14283,0.0012476,0.0012476,0.0012476
59,627.503,1.05995,0.26782,0.12023,0.72521,1.11027,0.99564,1,0.995,0.67456,0.99564,1,0.995,0.98111,1.16291,0.17058,0.01386,0.58559,1.08923,0.0012344,0.0012344,0.0012344
60,636.673,1.0467,0.24041,0.11149,0.70351,1.07743,0.98831,0.98246,0.99434,0.64142,0.99737,1,0.995,0.96357,1.23182,0.19547,0.01371,0.59285,1.11664,0.0012212,0.0012212,0.0012212
61,645.95,1.13918,0.27262,0.11258,0.72425,1.10861,0.99724,0.98246,0.9945,0.55766,0.9979,1,0.995,0.94884,1.43845,0.22797,0.01332,0.64729,1.20513,0.001208,0.001208,0.001208
62,655.225,1.07915,0.2825,0.11005,0.69564,1.08479,0.99272,0.98246,0.99419,0.60202,0.99811,1,0.995,0.94226,1.33351,0.21664,0.01389,0.61884,1.15462,0.0011948,0.0011948,0.0011948
63,664.469,1.13645,0.23715,0.11069,0.73065,1.15282,0.99825,1,0.995,0.68343,0.99825,1,0.995,0.95897,1.09427,0.17935,0.01556,0.56516,1.09111,0.0011816,0.0011816,0.0011816
64,673.687,1.11657,0.24423,0.13808,0.76118,1.14483,0.99831,1,0.995,0.68729,0.99831,1,0.995,0.97057,1.05269,0.15566,0.01405,0.57235,1.06811,0.0011684,0.0011684,0.0011684
65,682.927,1.08067,0.24642,0.12046,0.71837,1.07075,0.99868,1,0.995,0.56905,0.99868,1,0.995,0.98628,1.34538,0.14531,0.01181,0.63309,1.14733,0.0011552,0.0011552,0.0011552
66,692.196,1.10457,0.25669,0.10374,0.71743,1.08211,0.98092,0.98246,0.99177,0.50945,0.99844,1,0.995,0.97973,1.50418,0.1538,0.01283,0.67624,1.21174,0.001142,0.001142,0.001142
67,701.399,1.01417,0.2235,0.09778,0.69948,1.04642,0.99774,1,0.995,0.62353,0.99774,1,0.995,0.96393,1.1753,0.19549,0.01684,0.58463,1.0732,0.0011288,0.0011288,0.0011288
68,710.648,0.98755,0.23855,0.11913,0.69626,1.04779,0.99784,1,0.995,0.665,0.99784,1,0.995,0.97763,1.08167,0.17852,0.02051,0.56879,1.05099,0.0011156,0.0011156,0.0011156
69,719.977,0.96626,0.20631,0.1024,0.66426,1.00546,0.99742,1,0.995,0.65641,0.99742,1,0.995,0.99022,1.09657,0.13698,0.02314,0.59072,1.06517,0.0011024,0.0011024,0.0011024
70,729.249,0.9861,0.19734,0.09699,0.69441,1.04704,0.99258,1,0.995,0.6935,0.99258,1,0.995,0.9865,1.01814,0.13633,0.02298,0.56747,1.0451,0.0010892,0.0010892,0.0010892
71,738.508,1.03045,0.18893,0.11371,0.71729,1.09403,0.99561,1,0.995,0.70312,0.99561,1,0.995,0.98884,1.01622,0.1432,0.022,0.55088,1.05827,0.001076,0.001076,0.001076
72,747.761,1.01625,0.21064,0.11948,0.69039,1.05906,0.99495,1,0.995,0.72389,0.99495,1,0.995,0.97739,0.99033,0.167,0.0173,0.54526,1.04543,0.0010628,0.0010628,0.0010628
73,757.038,0.98984,0.19253,0.10224,0.66914,1.03654,0.97997,0.98246,0.99384,0.69206,0.99747,1,0.995,0.97697,1.00533,0.13849,0.01559,0.5583,1.03791,0.0010496,0.0010496,0.0010496
74,766.293,0.99658,0.20879,0.13888,0.66971,1.06179,0.99767,1,0.995,0.6743,0.99767,1,0.995,0.98861,1.04758,0.11372,0.01468,0.55456,1.04124,0.0010364,0.0010364,0.0010364
75,775.509,0.98599,0.21643,0.10661,0.65956,1.07552,0.99785,1,0.995,0.66811,0.99785,1,0.995,0.99286,1.07625,0.10791,0.01341,0.55882,1.05616,0.0010232,0.0010232,0.0010232
76,784.719,1.02681,0.1906,0.14247,0.67329,1.08691,0.99788,1,0.995,0.67161,0.99788,1,0.995,0.99282,1.06933,0.09544,0.0112,0.557,1.06051,0.00101,0.00101,0.00101
77,793.955,1.04656,0.22893,0.14039,0.62451,1.0541,0.99813,1,0.995,0.67189,0.99813,1,0.995,0.995,1.04975,0.09089,0.00992,0.52483,1.04163,0.0009968,0.0009968,0.0009968
78,803.227,0.97704,0.19919,0.0853,0.59556,1.03783,0.9984,1,0.995,0.61651,0.9984,1,0.995,0.99438,1.15028,0.09536,0.00901,0.56485,1.07504,0.0009836,0.0009836,0.0009836
79,812.509,0.99913,0.19083,0.10003,0.61568,1.03777,0.99884,1,0.995,0.63733,0.99884,1,0.995,0.9942,1.10759,0.09896,0.00956,0.5508,1.05564,0.0009704,0.0009704,0.0009704
80,821.736,1.05519,0.15716,0.11264,0.64655,1.09225,0.99892,1,0.995,0.72775,0.99892,1,0.995,0.98906,0.93179,0.10332,0.01051,0.48774,0.99552,0.0009572,0.0009572,0.0009572
81,831,1.01311,0.16851,0.09352,0.63943,1.08379,0.99897,1,0.995,0.70842,0.99897,1,0.995,0.98604,0.94733,0.10548,0.01075,0.49908,0.99688,0.000944,0.000944,0.000944
82,840.266,0.97722,0.19885,0.09743,0.62157,1.03504,0.99881,1,0.995,0.58824,0.99881,1,0.995,0.98719,1.28077,0.10065,0.0097,0.59756,1.11235,0.0009308,0.0009308,0.0009308
83,849.575,1.00996,0.19235,0.10693,0.64903,1.05427,0.9988,1,0.995,0.59707,0.9988,1,0.995,0.98652,1.23496,0.09929,0.00864,0.5676,1.0932,0.0009176,0.0009176,0.0009176
84,858.818,1.07018,0.16795,0.13388,0.67077,1.10815,0.99884,1,0.995,0.68046,0.99884,1,0.995,0.98898,1.039,0.10487,0.0091,0.49283,1.02303,0.0009044,0.0009044,0.0009044
85,868.018,1.0333,0.15545,0.13021,0.65587,1.10886,0.99876,1,0.995,0.69525,0.99876,1,0.995,0.98898,1.01357,0.10218,0.00925,0.49659,1.01393,0.0008912,0.0008912,0.0008912
86,877.292,1.00451,0.18254,0.11944,0.66614,1.03831,0.99858,1,0.995,0.58101,0.99858,1,0.995,0.99138,1.28094,0.09323,0.00843,0.58176,1.1082,0.000878,0.000878,0.000878
87,886.596,1.00533,0.14349,0.10041,0.71954,1.09225,0.98047,0.98246,0.99043,0.52069,0.99798,1,0.995,0.99319,1.47592,0.1007,0.00925,0.68272,1.20087,0.0008648,0.0008648,0.0008648
88,895.756,0.99684,0.14201,0.14608,0.71753,1.07932,0.98108,0.98246,0.99434,0.63517,0.99816,1,0.995,0.98942,1.10014,0.12679,0.01213,0.59428,1.06301,0.0008516,0.0008516,0.0008516
89,904.987,0.98641,0.18668,0.13333,0.68516,1.04411,0.99813,1,0.995,0.71802,0.99813,1,0.995,0.98664,0.91308,0.1397,0.01351,0.51872,0.99239,0.0008384,0.0008384,0.0008384
90,914.237,0.98584,0.15195,0.10135,0.66951,1.07116,0.99824,1,0.995,0.71104,0.99824,1,0.995,0.99082,0.93964,0.10821,0.01312,0.49986,1.00137,0.0008252,0.0008252,0.0008252
91,923.524,0.97863,0.15806,0.12833,0.64697,1.03544,0.99802,1,0.995,0.61645,0.99802,1,0.995,0.99157,1.17542,0.09115,0.01091,0.55578,1.07138,0.000812,0.000812,0.000812
92,932.817,0.98675,0.18471,0.11016,0.65701,1.03708,0.99832,1,0.995,0.53342,0.99832,1,0.995,0.99208,1.38412,0.09163,0.01026,0.60292,1.15833,0.0007988,0.0007988,0.0007988
93,942.063,0.91168,0.15306,0.12266,0.62858,1.03084,0.99848,1,0.995,0.56449,0.99848,1,0.995,0.99227,1.3292,0.09374,0.01088,0.58236,1.13285,0.0007856,0.0007856,0.0007856
94,951.365,0.92946,0.18295,0.10712,0.63795,1.0425,0.99841,1,0.995,0.69007,0.99841,1,0.995,0.99326,0.96865,0.09804,0.01276,0.51812,1.0167,0.0007724,0.0007724,0.0007724
95,960.568,0.97951,0.14802,0.09693,0.61439,1.05153,0.99811,1,0.995,0.70818,0.99811,1,0.995,0.99328,0.94648,0.09928,0.01269,0.51364,1.01428,0.0007592,0.0007592,0.0007592
96,969.868,0.96224,0.19018,0.09653,0.61463,0.99711,0.99831,1,0.995,0.65706,0.99831,1,0.995,0.995,1.08607,0.09219,0.01138,0.53119,1.04823,0.000746,0.000746,0.000746
97,979.117,0.92472,0.13836,0.12785,0.60795,1.03146,0.99868,1,0.995,0.57149,0.99868,1,0.995,0.99258,1.29102,0.08377,0.0105,0.53788,1.11097,0.0007328,0.0007328,0.0007328
98,988.438,0.93202,0.14409,0.11249,0.59783,1.04884,0.99875,1,0.995,0.54044,0.99875,1,0.995,0.99267,1.36819,0.0811,0.00965,0.53693,1.14642,0.0007196,0.0007196,0.0007196
99,997.747,0.96722,0.13757,0.11419,0.61644,1.05981,0.99882,1,0.995,0.56367,0.99882,1,0.995,0.98937,1.28043,0.08539,0.00972,0.51885,1.1084,0.0007064,0.0007064,0.0007064
100,1007.05,1.00178,0.18393,0.12012,0.58404,1.0309,0.99881,1,0.995,0.65051,0.99881,1,0.995,0.9874,1.06191,0.09166,0.00997,0.48832,1.02579,0.0006932,0.0006932,0.0006932
101,1016.27,0.95217,0.15084,0.11826,0.593,1.05186,0.99833,1,0.995,0.7064,0.99833,1,0.995,0.98782,0.92621,0.09346,0.01032,0.4646,0.98707,0.00068,0.00068,0.00068
102,1025.58,0.96957,0.15741,0.08194,0.5958,1.03515,0.99845,1,0.995,0.70053,0.99845,1,0.995,0.98961,0.91451,0.09296,0.01011,0.47057,0.98284,0.0006668,0.0006668,0.0006668
103,1034.82,0.94408,0.14069,0.0966,0.57211,1.01552,0.99857,1,0.995,0.7032,0.99857,1,0.995,0.98621,0.89922,0.09324,0.00998,0.47127,0.98044,0.0006536,0.0006536,0.0006536
104,1044.03,0.94171,0.15008,0.12215,0.57663,1.05114,0.99861,1,0.995,0.73102,0.99861,1,0.995,0.98947,0.85757,0.09323,0.01043,0.46174,0.97608,0.0006404,0.0006404,0.0006404
105,1053.3,0.9289,0.15335,0.12279,0.58265,1.05223,0.99839,1,0.995,0.72111,0.99839,1,0.995,0.99314,0.85813,0.0942,0.01017,0.46614,0.97671,0.0006272,0.0006272,0.0006272
106,1062.62,0.94724,0.14634,0.08592,0.56298,1.04581,0.99837,1,0.995,0.74055,0.99837,1,0.995,0.99077,0.85278,0.106,0.0104,0.46675,0.98034,0.000614,0.000614,0.000614
107,1071.9,0.91896,0.15831,0.10572,0.5491,1.0313,0.99825,1,0.995,0.73052,0.99825,1,0.995,0.99077,0.85631,0.11404,0.01088,0.47538,0.97878,0.0006008,0.0006008,0.0006008
108,1081.2,0.92939,0.12586,0.12838,0.5764,1.05741,0.99818,1,0.995,0.73438,0.99818,1,0.995,0.99126,0.8657,0.10966,0.01137,0.4798,0.98208,0.0005876,0.0005876,0.0005876
109,1090.47,0.91045,0.14606,0.09807,0.55754,0.99515,0.99877,1,0.995,0.72696,0.99877,1,0.995,0.995,0.86923,0.10036,0.0121,0.47464,0.98264,0.0005744,0.0005744,0.0005744
110,1099.76,0.91827,0.13341,0.07883,0.57735,1.03001,0.99863,1,0.995,0.76022,0.99863,1,0.995,0.995,0.83369,0.09733,0.01343,0.45941,0.96516,0.0005612,0.0005612,0.0005612
111,1109.05,0.89526,0.10933,0.09292,0.54594,1.02772,0.99867,1,0.995,0.74581,0.99867,1,0.995,0.995,0.83695,0.09248,0.01348,0.45043,0.96007,0.000548,0.000548,0.000548
112,1118.31,0.88027,0.12952,0.11443,0.5412,0.99227,0.9988,1,0.995,0.71166,0.9988,1,0.995,0.995,0.92669,0.08301,0.01292,0.45714,0.98926,0.0005348,0.0005348,0.0005348
113,1127.55,0.85415,0.14592,0.09302,0.53726,0.98943,0.99877,1,0.995,0.68232,0.99877,1,0.995,0.995,0.99442,0.0768,0.01319,0.47233,1.00952,0.0005216,0.0005216,0.0005216
114,1136.88,0.84585,0.11192,0.09581,0.52559,0.99429,0.99882,1,0.995,0.70547,0.99882,1,0.995,0.995,0.9378,0.07409,0.01311,0.45256,0.98324,0.0005084,0.0005084,0.0005084
115,1146.15,0.88,0.14696,0.12051,0.54083,1.03138,0.99883,1,0.995,0.69496,0.99883,1,0.995,0.995,0.95067,0.07104,0.01263,0.4586,0.98215,0.0004952,0.0004952,0.0004952
116,1155.31,0.913,0.15873,0.09968,0.5353,0.99956,0.99882,1,0.995,0.68474,0.99882,1,0.995,0.995,0.99349,0.06898,0.01172,0.46592,0.99465,0.000482,0.000482,0.000482
117,1164.55,0.90438,0.13078,0.09999,0.55154,1.0329,0.99882,1,0.995,0.6926,0.99882,1,0.995,0.995,0.95507,0.06953,0.01175,0.44665,0.98132,0.0004688,0.0004688,0.0004688
118,1173.78,0.88708,0.12037,0.12768,0.51305,1.01982,0.99883,1,0.995,0.72738,0.99883,1,0.995,0.995,0.8879,0.07181,0.01242,0.43707,0.96484,0.0004556,0.0004556,0.0004556
119,1183.02,0.88525,0.13692,0.08656,0.50838,1.00412,0.99884,1,0.995,0.74205,0.99884,1,0.995,0.995,0.87735,0.0727,0.01284,0.43381,0.96406,0.0004424,0.0004424,0.0004424
120,1192.28,0.85691,0.11859,0.07807,0.49903,0.98679,0.99883,1,0.995,0.74202,0.99883,1,0.995,0.995,0.85481,0.0734,0.01305,0.42813,0.95981,0.0004292,0.0004292,0.0004292
121,1201.58,0.88888,0.14819,0.08618,0.51472,0.991,0.99887,1,0.995,0.73315,0.99887,1,0.995,0.995,0.87007,0.07437,0.01263,0.42945,0.96304,0.000416,0.000416,0.000416
122,1210.86,0.89103,0.09169,0.15071,0.55767,1.05769,0.9989,1,0.995,0.74627,0.9989,1,0.995,0.99289,0.83371,0.07902,0.01253,0.41955,0.95431,0.0004028,0.0004028,0.0004028
123,1220.08,0.89506,0.11886,0.09318,0.5043,1.01132,0.99888,1,0.995,0.76584,0.99888,1,0.995,0.99282,0.79918,0.08195,0.01297,0.40942,0.94646,0.0003896,0.0003896,0.0003896
124,1229.26,0.89366,0.14121,0.08905,0.50033,0.98771,0.99888,1,0.995,0.76121,0.99888,1,0.995,0.99286,0.80613,0.08294,0.01353,0.41561,0.94904,0.0003764,0.0003764,0.0003764
125,1238.56,0.85118,0.15899,0.11866,0.51285,0.99033,0.99885,1,0.995,0.76192,0.99885,1,0.995,0.995,0.84063,0.07745,0.01389,0.42494,0.95876,0.0003632,0.0003632,0.0003632
126,1247.84,0.87419,0.12847,0.11278,0.5212,1.00786,0.99889,1,0.995,0.74578,0.99889,1,0.995,0.995,0.88203,0.07343,0.01385,0.43661,0.97225,0.00035,0.00035,0.00035
127,1257.06,0.8856,0.12022,0.08505,0.50949,1.06072,0.9989,1,0.995,0.74547,0.9989,1,0.995,0.995,0.84536,0.07355,0.01443,0.43358,0.96126,0.0003368,0.0003368,0.0003368
